STATE,TIN,YEAR,agg,rev,cap,soc
Mizoram,15,2014,7523.22,6268.51,1254.71,3190
Nagaland,13,2014,9241.4,7605.56,1635.84,3310
Odisha,21,2014,76127.06,60272.15,15854.91,34970
Punjab,3,2014,56430.95,48982.74,7448.21,17810
Rajasthan,8,2014,125811.63,100887.94,24923.69,59940
Sikkim,11,2014,6716.29,4895.44,1820.85,2370
Tamil Nadu,33,2014,161424.09,136725.38,24698.71,68280
Tripura,16,2014,12399.45,79809.76,4096.38,5970
Uttar Pradesh,9,2014,262302.82,191590.23,70712.59,102240
Uttarakhand,5,2014,31455.8,24352.48,7103.32,15340
West Bengal,19,2014,129647.46,106827.98,22819.48,59220
Andhra Pradesh ,37,2015,112048.99,97424.78,14624.21,52450
Arunachal Pradesh,12,2015,12712.91,9302.43,3410.48,4060
Assam,18,2015,63602.17,51562.85,12039.32,27810
Bihar,10,2015,120685.32,91208.11,29477.21,56140
Chhattisgarh,22,2015,65810.7,53729.81,12080.89,37350
Goa,30,2015,13102.77,9529.02,3573.75,4680
Gujarat,24,2015,137518.73,101986.68,35532.05,57900
Haryana,6,2015,71674.8,61869.62,9805.18,30790
Himachal Pradesh,2,2015,28338.62,23487.69,4850.93,11320
Jammu & Kashmir,1,2015,45919.52,34714.08,11205.44,14200
Jharkhand,20,2015,55492.95,43343.24,12149.71,27360
Karnataka,29,2015,140534.43,115449.68,25084.75,57450
Kerala,32,2015,99277.74,85259.12,14018.62,36570
Madhya Pradesh,23,2015,135972.07,108834.92,27137.15,59290
Maharashtra,27,2015,240026.09,201987.9,38038.19,110020
Manipur,14,2015,9652.41,7965.08,1687.33,3350
Meghalaya,17,2015,9583.25,7621.48,1961.77,3710
Mizoram,15,2015,7576.53,6091.29,1485.24,2910
Nagaland,13,2015,10582.2,8661.62,1920.58,3810
Odisha,21,2015,84487.77,65838.99,18648.78,37440
Punjab,3,2015,61813.86,52623.2,9190.66,18510
Rajasthan,8,2015,137713.39,110804.85,26908.54,67370
Sikkim,11,2015,5525.73,4258.51,1267.22,2010
Tamil Nadu,33,2015,182338.58,147297.35,35041.23,70980
Tripura,16,2015,14948.92,9125.55,5823.37,7210
Uttar Pradesh,9,2015,292687.32,215756.18,76931.14,116170
Uttarakhand,5,2015,31893.64,25739.33,6154.31,15200
West Bengal,19,2015,138374,113100.22,25273.78,62630
